epoch,accuracy,loss,val_accuracy,val_loss
0,0.08489857614040375,2.5873255729675293,0.17037037014961243,2.566952705383301
1,0.11645379662513733,2.5495996475219727,0.14074073731899261,2.5293707847595215
2,0.13523666560649872,2.5178775787353516,0.18518517911434174,2.4934589862823486
3,0.1697971522808075,2.487349271774292,0.2074074000120163,2.453843593597412
4,0.23365890979766846,2.449708938598633,0.22962963581085205,2.4066379070281982
5,0.25995492935180664,2.407407522201538,0.24444444477558136,2.349116802215576
6,0.28925618529319763,2.354677438735962,0.27407407760620117,2.278019666671753
7,0.3486100733280182,2.2901968955993652,0.37037035822868347,2.1977789402008057
8,0.39669421315193176,2.217123031616211,0.4000000059604645,2.1052844524383545
9,0.43876785039901733,2.131344795227051,0.40740740299224854,2.0051605701446533
10,0.44928625226020813,2.036024570465088,0.48148149251937866,1.89341402053833
11,0.5184072256088257,1.9298397302627563,0.46666666865348816,1.7769564390182495
12,0.5386927127838135,1.8262012004852295,0.5333333611488342,1.6532142162322998
13,0.5664913654327393,1.7077500820159912,0.6370370388031006,1.5378576517105103
14,0.594290018081665,1.5932114124298096,0.6740740537643433,1.4062690734863281
15,0.6280992031097412,1.4693260192871094,0.6666666865348816,1.2905141115188599
16,0.640871524810791,1.3759355545043945,0.7037037014961243,1.1739954948425293
17,0.6574004292488098,1.2729331254959106,0.7111111283302307,1.1217100620269775
18,0.679939866065979,1.1896847486495972,0.7555555701255798,1.0714384317398071
19,0.7084898352622986,1.094883680343628,0.7407407164573669,0.9798451662063599
20,0.7017280459403992,1.0426249504089355,0.7851851582527161,0.9109193086624146
21,0.7302780151367188,0.9751641750335693,0.7925925850868225,0.863288164138794
22,0.7498121857643127,0.9134590029716492,0.800000011920929,0.7875503301620483
23,0.7625845074653625,0.8652458190917969,0.8222222328186035,0.7516389489173889
24,0.7663410902023315,0.8205764293670654,0.7555555701255798,0.7380062341690063
25,0.7708489894866943,0.789919376373291,0.7555555701255798,0.7861363887786865
26,0.7851239442825317,0.7541989684104919,0.8222222328186035,0.6800690293312073
27,0.7948910593986511,0.7191175222396851,0.8148148059844971,0.6854820847511292
28,0.8046581745147705,0.6891329288482666,0.8592592477798462,0.6286728978157043
29,0.8054094910621643,0.6630849242210388,0.8666666746139526,0.6062052249908447
30,0.8196844458580017,0.6442485451698303,0.8518518805503845,0.5728271007537842
31,0.8309541940689087,0.5999699234962463,0.8444444537162781,0.58270263671875
32,0.8317055106163025,0.6002549529075623,0.8518518805503845,0.5410106778144836
33,0.8317055106163025,0.5682365894317627,0.8962963223457336,0.5159885287284851
34,0.8504883646965027,0.5592204928398132,0.8518518805503845,0.550370454788208
35,0.8580015301704407,0.5352281928062439,0.8666666746139526,0.5144848227500916
36,0.8527423143386841,0.5158745050430298,0.8814814686775208,0.5421053171157837
37,0.8685199022293091,0.4986675977706909,0.8666666746139526,0.5436926484107971
38,0.8625093698501587,0.48504000902175903,0.8814814686775208,0.4924626648426056
39,0.8572502136230469,0.487943559885025,0.8666666746139526,0.4771212637424469
40,0.8655146360397339,0.4688623547554016,0.8888888955116272,0.45426076650619507
41,0.8715251684188843,0.4445817768573761,0.9037036895751953,0.4596908390522003
42,0.8557475805282593,0.46237683296203613,0.8814814686775208,0.4209863245487213
43,0.8790383338928223,0.42073914408683777,0.9037036895751953,0.4034445881843567
44,0.8760330677032471,0.42611032724380493,0.9037036895751953,0.41340380907058716
45,0.8925619721412659,0.3876497745513916,0.9037036895751953,0.4236146807670593
46,0.8933132886886597,0.3779839277267456,0.8962963223457336,0.39960992336273193
47,0.8888053894042969,0.3879011273384094,0.8888888955116272,0.3756072223186493
48,0.9075883030891418,0.36050987243652344,0.8814814686775208,0.4301185607910156
49,0.8978211879730225,0.3535098731517792,0.8740741014480591,0.40153196454048157
50,0.9113448262214661,0.3362121284008026,0.9111111164093018,0.3715698719024658
51,0.9143500924110413,0.32178059220314026,0.9037036895751953,0.38506659865379333
52,0.8970698714256287,0.3361009359359741,0.9037036895751953,0.35977038741111755
53,0.9060856699943542,0.32811102271080017,0.9185185432434082,0.3457753360271454
54,0.9143500924110413,0.31541207432746887,0.9333333373069763,0.32270509004592896
55,0.918857991695404,0.3071690797805786,0.9185185432434082,0.316054105758667
56,0.918857991695404,0.294504851102829,0.9333333373069763,0.3055712878704071
57,0.918857991695404,0.2952771782875061,0.8962963223457336,0.3429698050022125
58,0.9256198406219482,0.27826493978500366,0.9259259104728699,0.34943488240242004
59,0.9241172075271606,0.2774420380592346,0.9259259104728699,0.3168421983718872
60,0.9203606247901917,0.2878972291946411,0.9111111164093018,0.33196505904197693
61,0.922614574432373,0.2746100127696991,0.9259259104728699,0.29154396057128906
62,0.9316303730010986,0.261491060256958,0.9185185432434082,0.3390071392059326
63,0.9241172075271606,0.26109185814857483,0.9111111164093018,0.3486514687538147
64,0.9331330060958862,0.24155659973621368,0.9259259104728699,0.34976863861083984
65,0.9248685240745544,0.2517266273498535,0.9259259104728699,0.2889881134033203
66,0.9361382126808167,0.23765169084072113,0.8962963223457336,0.38665542006492615
67,0.938392162322998,0.23427625000476837,0.9333333373069763,0.2935087978839874
68,0.938392162322998,0.22920139133930206,0.9259259104728699,0.30500900745391846
69,0.9406461119651794,0.22257819771766663,0.9185185432434082,0.31390342116355896
